,index,brand_name,model_name,price,rating,processor_brand,processor_name,processor_core,processor_threads,ram,ram_type,hdd,ssd,gpu_brand,gpu_model,gpu_size,screen_size,scree_resolution,Touch_screen,os,warranty
118,120,ULTIMUS,ULTIMUS S1,19990,50.0,INTEL,N4020,DUAL CORE,2,4,DDR4,0,256,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
119,121,ASUS,VIVOBOOK,58500,63.0,INTEL,CORE I7 1165G7,QUAD CORE,8,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
120,122,ASUS,VIVOBOOK,45990,65.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,0,512,INTEL,UHD,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
121,123,HP,VICTUS,62990,68.0,AMD,RYZEN 7 5800H,OCTA CORE,16,8,DDR4,0,512,AMD,RADEON,4,16.0, 1920 x 1080 ,0,WINDOWS 11,12
122,124,LENOVO,V,38370,55.0,AMD,RYZEN 5 5500U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
123,125,INFINIX,INBOOK,48990,59.0,INTEL,CORE I7 1195G7,QUAD CORE,8,16,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
124,126,INFINIX,INBOOK,39990,49.0,INTEL,CORE I5 1155G7,QUAD CORE,8,8,LPDDR4X,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
125,127,LENOVO,IDEAPAD,39990,61.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
126,128,LENOVO,E41,19999,42.0,AMD,3045B,DUAL CORE,2,4,,1024,,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
127,129,MSI,CREATOR,89990,79.0,INTEL,CORE I7 12700H,14 CORES,20,16,DDR4,0,512,NVIDIA,GEFORCE RTX,4,16.0, 2560 x 1660 ,0,WINDOWS 11,24
128,130,MSI,ALPHA,72990,75.0,AMD,RYZEN 7  5800H,OCTA CORE,16,8,DDR4,0,512,AMD,RADEON,8,15.6, 1920 x 1080 ,0,WINDOWS 11,12
129,131,ACER,ASPIRE,69990,74.0,INTEL,CORE I5 1240P,12 CORES,16,8,DDR4,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
130,132,LENOVO,THINKBOOK,36500,56.0,AMD,RYZEN 3 5300U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
131,133,ASUS,VIVOBOOK,44990,61.0,INTEL,CORE I5 1135G7,QUAD CORE,8,8,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
132,134,LENOVO,IDEAPAD,45990,65.0,AMD,RYZEN 5  5500U,HEXA CORE,12,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
133,135,HP,PAVILION,61990,55.0,INTEL,CORE I5 1235U,10 CORES,12,16,DDR4,0,512,INTEL,INTEGRATED IRIS,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
134,136,DELL,INSPIRON,39990,63.0,AMD,RYZEN 3 5425U,QUAD CORE,8,8,DDR4,0,512,AMD,RADEON,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
135,137,ASUS,TUF,94990,79.0,INTEL,CORE I7 12700H,14 CORES,20,16,DDR5,0,512,NVIDIA,GEFORCE RTX,4,15.6, 1920 x 1080 ,0,WINDOWS 11,12
136,138,HP,PAVILION,93990,74.0,INTEL,CORE I7 12700H,14 CORES,20,16,DDR4,0,1024,INTEL,INTEGRATED IRIS,,14.0, 2880 x 1800 ,0,WINDOWS 11,12
137,139,HP,PAVILION,48990,57.0,AMD,RYZEN 5  5500U,HEXA CORE,12,16,DDR4,0,512,AMD,RADEON,,14.0, 1920 x 1080 ,0,WINDOWS 11,12
138,140,HP,VICTUS,59490,72.0,AMD,RYZEN 5 5600H,HEXA CORE,12,8,DDR4,0,512,NVIDIA,GEFORCE GTX,4,16.1, 1920 x 1080 ,0,WINDOWS 11,12
139,141,HP,S,32399,57.0,AMD,ATHLON SILVER 3050U,DUAL CORE,2,8,DDR4,0,512,AMD,RADEON,,15.6, 1366 x 768 ,0,WINDOWS 11,12
140,142,HP,S,40450,60.0,INTEL,CORE I3 1115G4,DUAL CORE,4,8,DDR4,0,512,INTEL,UHD,,15.6, 1920 x 1080 ,0,WINDOWS 11,12
